School_Number,School_Name,Tested_Count,Level_1,Level_2,Level_3,Level_4,Level_5,Grade,Attend_Rate_Pct,Withdrawals_Pct,Entrants_Pct,FARMS_Pct,Management_type,charter,pass,Enrolled_Count
150,Mary Ann Winterling Elementary at Bentalou,45,14,17,11,3,0,Grade 4,91.7,14.1,21.3,76.7,Traditional,0,14,264
159,Cherry Hill ElementaryMiddle,45,23,11,4,7,0,Grade 3,91.2,19.6,16.8,78,Traditional,0,11,457
210,Hazelwood ElementaryMiddle,45,18,12,10,5,0,Grade 3,91.5,20.6,20.6,63.6,Traditional,0,15,465
220,Morrell Park ElementaryMiddle,45,3,8,16,18,0,Grade 4,93.3,10.4,12.9,60.2,Traditional,0,34,424
226,Violetville ElementaryMiddle,45,11,5,11,15,3,Grade 3,90.7,10.4,14.7,46.5,Traditional,0,29,420
232,Thomas Jefferson Elementary,45,8,13,15,9,0,Grade 3,93.2,11.5,8.3,55.4,Traditional,0,24,454
240,Graceland ParkODonnel Heights Elementary,45,21,11,10,3,0,Grade 5,93.3,16.1,19.1,39,Traditional,0,13,456
241,Fallstaff Elementary,45,24,12,6,3,0,Grade 5,91.7,12.4,17,41.3,Traditional,0,9,488
328,Southwest Baltimore Charter School,45,10,7,12,16,0,Grade 3,92.7,2.5,2.5,64,Charter,1,28,398
10,James McHenry Elementary,46,21,20,5,0,0,Grade 3,88.9,23.3,26.2,84.5,Traditional,0,5,389
44,Montebello Elementary,46,21,12,9,4,0,Grade 4,91.2,13,16.7,70.2,Traditional,0,13,539
55,Hampden,46,5,4,8,17,12,Grade 3,94,6,8.3,33.8,Traditional,0,37,449
95,Franklin Square Elementary,46,13,19,6,8,0,Grade 3,91.8,14.8,16.3,80.7,Traditional,0,14,467
124,BayBrook Elementary,46,27,11,8,0,0,Grade 3,91.2,23.4,24.7,65,Traditional,0,8,455
159,Cherry Hill ElementaryMiddle,46,34,12,0,0,0,Grade 4,91.2,19.6,16.8,78,Traditional,0,0,457
211,Gardenville Elementary,46,10,13,14,9,0,Grade 4,91.7,14.5,17.1,60.7,Traditional,0,23,327
217,Belmont Elementary,46,31,10,5,0,0,Grade 3,93.3,15.6,16,78.1,Traditional,0,5,269
328,Southwest Baltimore Charter School,46,11,22,10,3,0,Grade 5,92.7,2.5,2.5,64,Charter,1,13,398
328,Southwest Baltimore Charter School,46,10,17,14,5,0,Grade 4,92.7,2.5,2.5,64,Charter,1,19,398
34,Charles Carroll Barrister Elementary,47,10,13,9,11,4,Grade 3,94.8,22.9,18.4,57.7,Traditional,0,24,356
217,Belmont Elementary,47,20,17,7,3,0,Grade 5,93.3,15.6,16,78.1,Traditional,0,10,269
373,Tunbridge Public Charter School,47,10,13,13,11,0,Grade 4,97.5,5.8,2.5,26.9,Charter,1,24,470
21,Hilton Elementary,48,7,12,16,13,0,Grade 3,90.4,19.3,21.1,65.5,Traditional,0,29,385
54,Barclay ElementaryMiddle,48,20,13,9,6,0,Grade 5,89,17.1,16.1,66.1,Traditional,0,15,461
95,Franklin Square Elementary,48,21,14,13,0,0,Grade 4,91.8,14.8,16.3,80.7,Traditional,0,13,467
124,BayBrook Elementary,48,33,12,3,0,0,Grade 5,91.2,23.4,24.7,65,Traditional,0,3,455
246,Beechfield Elementary,48,32,9,7,0,0,Grade 3,93.7,25.2,24.4,66.8,Traditional,0,7,604
248,Sinclair Lane Elementary,48,24,18,6,0,0,Grade 3,90.1,19.3,22.1,68.7,Traditional,0,6,366
122,The Historic Samuel ColeridgeTaylor Elementary,49,24,21,4,0,0,Grade 4,89.1,20,16.7,78.4,Traditional,0,4,357
150,Mary Ann Winterling Elementary at Bentalou,49,26,10,10,3,0,Grade 3,91.7,14.1,21.3,76.7,Traditional,0,13,264
201,Dickey Hill ElementaryMiddle,49,16,12,16,5,0,Grade 4,92.8,16.4,24,49.8,Traditional,0,21,383
207,Curtis Bay Elementary,49,26,20,3,0,0,Grade 5,88.8,22.6,24.2,63.7,Traditional,0,3,559
246,Beechfield Elementary,49,17,15,11,6,0,Grade 4,93.7,25.2,24.4,66.8,Traditional,0,17,604
256,Calvin M. Rodwell Elementary,49,9,17,9,14,0,Grade 4,92.1,12.5,15.7,62.6,Traditional,0,23,316
373,Tunbridge Public Charter School,49,8,8,16,14,3,Grade 3,97.5,5.8,2.5,26.9,Charter,1,33,470
29,Matthew A. Henson Elementary,50,19,15,13,3,0,Grade 5,90.5,13.2,15.7,78.7,Traditional,0,16,360
215,Highlandtown Elementary 215,50,23,15,12,0,0,Grade 3,93.4,9.1,18.2,47.8,Traditional,0,12,458
232,Thomas Jefferson Elementary,50,24,9,9,8,0,Grade 4,93.2,11.5,8.3,55.4,Traditional,0,17,454
21,Hilton Elementary,51,13,14,15,9,0,Grade 4,90.4,19.3,21.1,65.5,Traditional,0,24,385
29,Matthew A. Henson Elementary,51,23,15,10,3,0,Grade 4,90.5,13.2,15.7,78.7,Traditional,0,13,360
60,Gwynns Falls Elementary,51,18,10,11,12,0,Grade 5,90.8,11.6,15.8,66.3,Traditional,0,23,358
81,North Bend Elementary,51,12,20,13,6,0,Grade 4,92.9,16.4,13.2,58.2,Traditional,0,19,479
240,Graceland ParkODonnel Heights Elementary,51,8,9,10,20,4,Grade 3,93.3,16.1,19.1,39,Traditional,0,34,456
44,Montebello Elementary,52,19,16,10,7,0,Grade 5,91.2,13,16.7,70.2,Traditional,0,17,539
51,Waverly Elementary,52,35,11,6,0,0,Grade 5,93.2,15.6,12.1,67,Traditional,0,6,640
60,Gwynns Falls Elementary,52,17,18,14,3,0,Grade 4,90.8,11.6,15.8,66.3,Traditional,0,17,358
84,Thomas Johnson Elementary,52,0,5,9,27,11,Grade 4,97.5,5.2,2.5,17,Traditional,0,47,544
21,Hilton Elementary,53,17,20,8,8,0,Grade 5,90.4,19.3,21.1,65.5,Traditional,0,16,385
44,Montebello Elementary,53,20,16,12,5,0,Grade 3,91.2,13,16.7,70.2,Traditional,0,17,539
84,Thomas Johnson Elementary,53,0,7,9,26,11,Grade 3,97.5,5.2,2.5,17,Traditional,0,46,544
142,Robert W. Coleman Elementary,53,35,14,4,0,0,Grade 4,90.5,18.2,14.6,76.3,Traditional,0,4,336
159,Cherry Hill ElementaryMiddle,53,27,16,10,0,0,Grade 5,91.2,19.6,16.8,78,Traditional,0,10,457
219,Yorkwood Elementary,53,9,12,15,14,3,Grade 5,94.2,19.3,20.9,50.4,Traditional,0,32,430
373,Tunbridge Public Charter School,53,4,17,19,13,0,Grade 5,97.5,5.8,2.5,26.9,Charter,1,32,470
51,Waverly Elementary,54,30,13,6,5,0,Grade 4,93.2,15.6,12.1,67,Traditional,0,11,640
66,Mount Royal ElementaryMiddle,54,6,16,26,6,0,Grade 4,92.3,11.6,21.5,55.7,Traditional,0,32,713
66,Mount Royal ElementaryMiddle,54,10,8,18,13,5,Grade 5,92.3,11.6,21.5,55.7,Traditional,0,36,713
83,William Paca Elementary,54,23,18,9,4,0,Grade 5,92.3,23,24.4,66.3,Traditional,0,13,499
206,Furley Elementary,54,18,15,13,8,0,Grade 4,90.6,23.9,28.9,66.1,Traditional,0,21,435
229,Holabird Elementary,54,36,15,0,3,0,Grade 5,91.8,16.5,19.6,49.7,Traditional,0,3,470
234,Arlington ElementaryMiddle,54,18,24,12,0,0,Grade 4,91.5,15.1,18.7,66.1,Traditional,0,12,570
234,Arlington ElementaryMiddle,54,24,16,10,4,0,Grade 5,91.5,15.1,18.7,66.1,Traditional,0,14,570
250,"Dr. Bernard Harris, Sr. Elementary",54,29,20,5,0,0,Grade 4,92.3,22.6,16.7,80.2,Traditional,0,5,352
260,Frederick Elementary,54,31,15,8,0,0,Grade 5,86.1,33.6,19.4,83.5,Charter,1,8,466
7,Cecil Elementary,55,18,19,12,6,0,Grade 5,93.5,11,15.4,71.8,Traditional,0,18,376
142,Robert W. Coleman Elementary,55,37,14,4,0,0,Grade 5,90.5,18.2,14.6,76.3,Traditional,0,4,336
207,Curtis Bay Elementary,55,27,13,6,9,0,Grade 3,88.8,22.6,24.2,63.7,Traditional,0,15,559
211,Gardenville Elementary,55,24,18,13,0,0,Grade 5,91.7,14.5,17.1,60.7,Traditional,0,13,327
384,Creative City Public Charter School,55,28,12,12,3,0,Grade 4,90.8,15.4,10.1,55.2,Charter,1,15,363
84,Thomas Johnson Elementary,56,0,7,16,21,12,Grade 5,97.5,5.2,2.5,17,Traditional,0,49,544
210,Hazelwood ElementaryMiddle,56,20,21,9,6,0,Grade 4,91.5,20.6,20.6,63.6,Traditional,0,15,465
211,Gardenville Elementary,56,20,20,10,6,0,Grade 3,91.7,14.5,17.1,60.7,Traditional,0,16,327
249,Medfield Heights Elementary,56,12,8,20,11,5,Grade 3,97.5,7,5.5,30.7,Traditional,0,36,387
213,Govans Elementary,56,22,20,8,6,0,Grade 5,91.7,13.5,18.8,63.9,Charter,1,14,436
260,Frederick Elementary,56,29,15,6,6,0,Grade 3,86.1,33.6,19.4,83.5,Charter,1,12,466
7,Cecil Elementary,57,28,17,12,0,0,Grade 4,93.5,11,15.4,71.8,Traditional,0,12,376
37,Harford Heights Elementary,57,21,14,14,8,0,Grade 4,89.4,24.4,25.5,79.1,Traditional,0,22,428
37,Harford Heights Elementary,57,12,20,13,12,0,Grade 3,89.4,24.4,25.5,79.1,Traditional,0,25,428
51,Waverly Elementary,57,27,14,9,7,0,Grade 3,93.2,15.6,12.1,67,Traditional,0,16,640
234,Arlington ElementaryMiddle,57,30,18,9,0,0,Grade 3,91.5,15.1,18.7,66.1,Traditional,0,9,570
124,BayBrook Elementary,58,37,14,7,0,0,Grade 4,91.2,23.4,24.7,65,Traditional,0,7,455
215,Highlandtown Elementary 215,58,16,19,17,6,0,Grade 4,93.4,9.1,18.2,47.8,Traditional,0,23,458
235,Glenmount ElementaryMiddle,58,9,13,18,18,0,Grade 5,93.6,10.5,12.5,54.2,Traditional,0,36,703
241,Fallstaff Elementary,58,24,17,11,6,0,Grade 3,91.7,12.4,17,41.3,Traditional,0,17,488
37,Harford Heights Elementary,59,36,19,4,0,0,Grade 5,89.4,24.4,25.5,79.1,Traditional,0,4,428
66,Mount Royal ElementaryMiddle,59,20,10,14,9,6,Grade 3,92.3,11.6,21.5,55.7,Traditional,0,29,713
246,Beechfield Elementary,59,15,20,11,13,0,Grade 5,93.7,25.2,24.4,66.8,Traditional,0,24,604
249,Medfield Heights Elementary,59,11,9,19,16,4,Grade 5,97.5,7,5.5,30.7,Traditional,0,39,387
261,Lockerman Bundy Elementary,59,17,13,17,12,0,Grade 4,91.4,20.3,20.3,76.3,Traditional,0,29,265
327,Patterson Park Public Charter School,59,10,14,15,16,4,Grade 5,97.5,2.5,2.5,46.6,Charter,1,35,709
241,Fallstaff Elementary,60,25,15,15,5,0,Grade 4,91.7,12.4,17,41.3,Traditional,0,20,488
250,"Dr. Bernard Harris, Sr. Elementary",60,27,17,12,4,0,Grade 3,92.3,22.6,16.7,80.2,Traditional,0,16,352
384,Creative City Public Charter School,60,21,21,8,10,0,Grade 3,90.8,15.4,10.1,55.2,Charter,1,18,363
29,Matthew A. Henson Elementary,61,24,15,15,7,0,Grade 3,90.5,13.2,15.7,78.7,Traditional,0,22,360
249,Medfield Heights Elementary,61,12,16,12,21,0,Grade 4,97.5,7,5.5,30.7,Traditional,0,33,387
248,Sinclair Lane Elementary,62,23,18,12,9,0,Grade 5,90.1,19.3,22.1,68.7,Traditional,0,21,366
235,Glenmount ElementaryMiddle,63,21,14,11,17,0,Grade 4,93.6,10.5,12.5,54.2,Traditional,0,28,703
125,Furman Templeton Preparatory Academy,63,36,18,9,0,0,Grade 4,89.5,24.4,23.7,83.4,Charter,1,9,488
64,Liberty Elementary,64,19,19,15,11,0,Grade 3,92.2,17.1,16.4,62.7,Traditional,0,26,465
207,Curtis Bay Elementary,64,40,16,8,0,0,Grade 4,88.8,22.6,24.2,63.7,Traditional,0,8,559
219,Yorkwood Elementary,64,12,27,10,15,0,Grade 3,94.2,19.3,20.9,50.4,Traditional,0,25,430
88,Lyndhurst Elementary,65,32,14,15,4,0,Grade 3,90.8,12.3,16.3,70.1,Traditional,0,19,377
247,Cross Country Elementary,65,13,20,21,11,0,Grade 5,93.9,12.8,13.5,45.5,Traditional,0,32,725
83,William Paca Elementary,66,37,22,7,0,0,Grade 4,92.3,23,24.4,66.3,Traditional,0,7,499
260,Frederick Elementary,66,34,24,8,0,0,Grade 4,86.1,33.6,19.4,83.5,Charter,1,8,466
64,Liberty Elementary,67,14,18,13,22,0,Grade 5,92.2,17.1,16.4,62.7,Traditional,0,35,465
83,William Paca Elementary,67,32,16,11,8,0,Grade 3,92.3,23,24.4,66.3,Traditional,0,19,499
213,Govans Elementary,67,20,15,17,15,0,Grade 4,91.7,13.5,18.8,63.9,Charter,1,32,436
88,Lyndhurst Elementary,68,30,21,12,5,0,Grade 4,90.8,12.3,16.3,70.1,Traditional,0,17,377
142,Robert W. Coleman Elementary,68,37,15,12,4,0,Grade 3,90.5,18.2,14.6,76.3,Traditional,0,16,336
7,Cecil Elementary,69,18,14,21,16,0,Grade 3,93.5,11,15.4,71.8,Traditional,0,37,376
219,Yorkwood Elementary,69,9,25,21,14,0,Grade 4,94.2,19.3,20.9,50.4,Traditional,0,35,430
221,The Mount Washington School,69,0,12,20,29,8,Grade 3,94.5,2.5,6.8,17.6,Traditional,0,57,616
206,Furley Elementary,70,32,20,10,8,0,Grade 3,90.6,23.9,28.9,66.1,Traditional,0,18,435
203,Maree Garnett Farring Elementary,72,31,19,17,5,0,Grade 3,92.2,15.4,22.3,55.7,Traditional,0,22,703
206,Furley Elementary,72,28,27,10,7,0,Grade 5,90.6,23.9,28.9,66.1,Traditional,0,17,435
235,Glenmount ElementaryMiddle,72,13,8,17,29,5,Grade 3,93.6,10.5,12.5,54.2,Traditional,0,51,703
247,Cross Country Elementary,72,17,27,18,10,0,Grade 3,93.9,12.8,13.5,45.5,Traditional,0,28,725
8,City Springs Elementary,73,40,12,16,5,0,Grade 5,91.5,18.8,14.5,84.6,Charter,1,21,769
203,Maree Garnett Farring Elementary,75,36,20,13,6,0,Grade 4,92.2,15.4,22.3,55.7,Traditional,0,19,703
236,Hamilton ElementaryMiddle,75,21,17,14,23,0,Grade 5,97.5,6,10.5,35.6,Traditional,0,37,813
243,Armistead Gardens Elementary,75,16,15,12,27,5,Grade 3,92.5,8.5,12.2,49.5,Traditional,0,44,768
125,Furman Templeton Preparatory Academy,75,31,35,9,0,0,Grade 5,89.5,24.4,23.7,83.4,Charter,1,9,488
327,Patterson Park Public Charter School,75,21,20,14,16,4,Grade 4,97.5,2.5,2.5,46.6,Charter,1,34,709
85,Fort Worthington Elementary,76,42,25,9,0,0,Grade 4,92.6,18.1,27.5,74,Traditional,0,9,684
237,Highlandtown Elementary 237,76,25,26,17,8,0,Grade 5,92.5,13.2,16.3,47.2,Traditional,0,25,757
247,Cross Country Elementary,76,25,32,19,0,0,Grade 4,93.9,12.8,13.5,45.5,Traditional,0,19,725
213,Govans Elementary,76,21,18,22,15,0,Grade 3,91.7,13.5,18.8,63.9,Charter,1,37,436
327,Patterson Park Public Charter School,76,15,18,17,16,10,Grade 3,97.5,2.5,2.5,46.6,Charter,1,43,709
221,The Mount Washington School,77,10,18,21,28,0,Grade 4,94.5,2.5,6.8,17.6,Traditional,0,49,616
335,Baltimore International Academy,77,17,27,25,8,0,Grade 5,93.5,8.7,2.5,39.2,Charter,1,33,753
221,The Mount Washington School,78,7,13,17,32,9,Grade 5,94.5,2.5,6.8,17.6,Traditional,0,58,616
47,Hampstead Hill Academy,78,0,13,19,40,6,Grade 5,97.5,2.5,2.5,27.5,Charter,1,65,799
335,Baltimore International Academy,78,8,35,23,12,0,Grade 4,93.5,8.7,2.5,39.2,Charter,1,35,753
85,Fort Worthington Elementary,79,48,21,10,0,0,Grade 5,92.6,18.1,27.5,74,Traditional,0,10,684
243,Armistead Gardens Elementary,79,32,25,12,10,0,Grade 4,92.5,8.5,12.2,49.5,Traditional,0,22,768
228,John Ruhrah Elementary,80,34,20,18,8,0,Grade 5,94,9.4,8.7,38.6,Traditional,0,26,810
8,City Springs Elementary,80,37,18,12,13,0,Grade 3,91.5,18.8,14.5,84.6,Charter,1,25,769
203,Maree Garnett Farring Elementary,81,31,16,27,7,0,Grade 5,92.2,15.4,22.3,55.7,Traditional,0,34,703
228,John Ruhrah Elementary,81,32,30,19,0,0,Grade 3,94,9.4,8.7,38.6,Traditional,0,19,810
236,Hamilton ElementaryMiddle,82,15,31,21,15,0,Grade 3,97.5,6,10.5,35.6,Traditional,0,36,813
228,John Ruhrah Elementary,83,39,25,12,7,0,Grade 4,94,9.4,8.7,38.6,Traditional,0,19,810
47,Hampstead Hill Academy,83,9,11,24,30,9,Grade 3,97.5,2.5,2.5,27.5,Charter,1,63,799
375,Baltimore Collegiate School for Boys,83,28,26,18,11,0,Grade 5,94.1,13.1,2.5,44.1,Charter,1,29,437
64,Liberty Elementary,84,14,23,27,20,0,Grade 4,92.2,17.1,16.4,62.7,Traditional,0,47,465
12,Lakeland ElementaryMiddle,85,9,10,23,36,7,Grade 3,94.6,11.1,17.2,40.6,Traditional,0,66,851
375,Baltimore Collegiate School for Boys,85,26,29,20,10,0,Grade 4,94.1,13.1,2.5,44.1,Charter,1,30,437
85,Fort Worthington Elementary,87,58,23,6,0,0,Grade 3,92.6,18.1,27.5,74,Traditional,0,6,684
125,Furman Templeton Preparatory Academy,87,39,29,14,5,0,Grade 3,89.5,24.4,23.7,83.4,Charter,1,19,488
335,Baltimore International Academy,88,19,25,28,16,0,Grade 3,93.5,8.7,2.5,39.2,Charter,1,44,753
27,Commodore John Rogers Elementary,89,24,26,23,16,0,Grade 3,90,11,11.2,56.8,Traditional,0,39,881
27,Commodore John Rogers Elementary,89,25,33,20,11,0,Grade 4,90,11,11.2,56.8,Traditional,0,31,881
105,Moravia Park,89,33,24,22,10,0,Grade 5,92.6,17.4,11.1,61.4,Traditional,0,32,779
236,Hamilton ElementaryMiddle,89,13,28,23,25,0,Grade 4,97.5,6,10.5,35.6,Traditional,0,48,813
47,Hampstead Hill Academy,89,13,26,22,28,0,Grade 4,97.5,2.5,2.5,27.5,Charter,1,50,799
12,Lakeland ElementaryMiddle,91,19,21,24,27,0,Grade 5,94.6,11.1,17.2,40.6,Traditional,0,51,851
243,Armistead Gardens Elementary,91,34,21,25,11,0,Grade 5,92.5,8.5,12.2,49.5,Traditional,0,36,768
27,Commodore John Rogers Elementary,92,36,25,18,13,0,Grade 5,90,11,11.2,56.8,Traditional,0,31,881
12,Lakeland ElementaryMiddle,94,21,24,15,34,0,Grade 4,94.6,11.1,17.2,40.6,Traditional,0,49,851
105,Moravia Park,98,42,26,30,0,0,Grade 3,92.6,17.4,11.1,61.4,Traditional,0,30,779
237,Highlandtown Elementary 237,98,57,28,13,0,0,Grade 4,92.5,13.2,16.3,47.2,Traditional,0,13,757
242,Northwood Elementary,99,19,32,30,18,0,Grade 4,93.2,9.3,14.1,51.8,Traditional,0,48,661
8,City Springs Elementary,100,43,32,16,9,0,Grade 4,91.5,18.8,14.5,84.6,Charter,1,25,769
242,Northwood Elementary,101,13,21,24,43,0,Grade 5,93.2,9.3,14.1,51.8,Traditional,0,67,661
105,Moravia Park,103,44,34,17,8,0,Grade 4,92.6,17.4,11.1,61.4,Traditional,0,25,779
237,Highlandtown Elementary 237,104,46,36,11,11,0,Grade 3,92.5,13.2,16.3,47.2,Traditional,0,22,757
242,Northwood Elementary,105,23,16,32,34,0,Grade 3,93.2,9.3,14.1,51.8,Traditional,0,66,661
231,Brehms Lane Public Charter School,106,41,43,16,6,0,Grade 4,90.8,14.3,16.9,74.7,Charter,1,22,680
231,Brehms Lane Public Charter School,106,63,23,14,6,0,Grade 5,90.8,14.3,16.9,74.7,Charter,1,20,680
231,Brehms Lane Public Charter School,112,50,35,18,9,0,Grade 3,90.8,14.3,16.9,74.7,Charter,1,27,680
381,Monarch Academy Public Charter School,114,52,39,23,0,0,Grade 5,89.7,14.6,5.9,67.4,Charter,1,23,1012
233,Roland Park ElementaryMiddle,117,0,0,23,61,33,Grade 5,97.5,2.5,5.5,11.5,Traditional,0,117,1415
245,Leith Walk Elementary,117,34,40,20,23,0,Grade 4,92.7,12.2,9,48,Traditional,0,43,1166
245,Leith Walk Elementary,118,56,36,26,0,0,Grade 5,92.7,12.2,9,48,Traditional,0,26,1166
381,Monarch Academy Public Charter School,119,62,31,14,12,0,Grade 3,89.7,14.6,5.9,67.4,Charter,1,26,1012
381,Monarch Academy Public Charter School,122,58,43,21,0,0,Grade 4,89.7,14.6,5.9,67.4,Charter,1,21,1012
233,Roland Park ElementaryMiddle,127,13,23,19,50,22,Grade 4,97.5,2.5,5.5,11.5,Traditional,0,91,1415
233,Roland Park ElementaryMiddle,128,12,16,29,46,25,Grade 3,97.5,2.5,5.5,11.5,Traditional,0,100,1415
245,Leith Walk Elementary,134,53,35,33,13,0,Grade 3,92.7,12.2,9,48,Traditional,0,46,1166
